comment,GPT5,DeepSeek,AI_Agent,consensus
"а почему с кубани начали, а не с москвы?",no,no,no,no
"Ну смотрите, если она в наморднике и я отвожу её в конец автобуса(маршрутки), знаю о ней все и сажаю её около себя, значит я не настолько и глуп. И как вообще понимать Это я знаю свою собаку , это так можно и про всех людей сказать. Я вот не знаю тошнит тебя в автобусе или нет, отсядь пожалуйста, ведь только ты знаешь, что нет. Может ты террорист? Покинь автобус пожалуйста, а то полицию вызову. Глупо рассуждаешь однако. А про ресторан ничего глупого как раз и не вижу. Я нахожусь далеко от дома, я и собака были на фотосессии с моделью и мы все замёрзли, т.к была зима, мы пошли в ближайший ресторан купить горячие напитки и пойти домой, но нам предложили покушать, с чем мы согласились. Кто тут виноват и в чем?",yes,no,no,disagreement
"Если квартира в ипотеке, то она не твоя, а банковская!",no,no,no,no
"СКОРО, ТАРАСИКИ, УЖЕ СКОРО",no,no,no,no
"Весело ломать людям жизни ? В такие моменты я рад что пыня и компания скоро выебут всех вас в сраку. Будешь травить с регистрацией по паспорту чмо абоссаное. Сами превращаете интернет в помойку, сами же за это и получаете.",yes,yes,yes,yes
"Здравствуйте, о каком минусе вы ведёте речь?",no,no,no,no
"Пусть лучше само евровидение стримит. Долбоеб чтоли, у него на последний видос про это фрик-шоу копирасты страйкобляди жалобу кинули и ролик снесли, хорошо хоть перезалив есть! А ты говоришь на твиче такое стримить. Хотя учитывая что фруктозка постоянно смотрит одно кинцо на своих стримах и строит из себя сексапильную падчерицу, понятно почему её не блокируют правообладатели, видать сами дрочат.",yes,yes,yes,yes
"Не стоит загонять себя в рамки я не имею права . Когда дети вырастут, они будут ощущать чувство вины за то, что своим существованием мешали маме быть счастливой.",yes,no,no,disagreement
"Да, на Rust е ЯП были примеры задач по этому тупому примеру.",yes,yes,yes,yes
"Тащем, все хоть сколь либо интересные и интеллигентные люди которых я знал, бухали и упарывали. Быдло же это твои пресные и унылые нормисы, которых и людьми то сложно назвать, те самые NPC без рефлексий.",no,no,no,no
"больше ни чего не комментирую, а то опять забанят интернетнытики своими минусами.",no,no,no,no
"Не не, с вокзала только вызывать местную службу такси. Номер пробивается в интернете заранее. А автобус ещё дешевле. Надеюсь, с развитием интернета эта мошенническая профессия - вокзальный бомбила - доживает последние дни. Нахуй этих ушпырков, никто по ним скучать не будет.",yes,no,yes,disagreement
"Ява, Ява, то яма, то канава.",no,no,no,no
"Я извиняюсь, не сразу понял о чем пост. Текст не читал картинки посмотрел, вот и всё. Сообщение нельзя отредактировать.",no,yes,no,disagreement
"Припомнилась новость про 11 летнего мальчика, которого посадили за пассивное сопротивление аресту после того, как этот мальчик отказался присягать флагу перед началом урока. Это вам не палки рисовать, это профессионализм по охране духовных скреп.",yes,no,no,disagreement
"Остается надеяться, что там дружелюбные соседи и много места для парковки.",no,no,no,no
"1048576мб поделить на 40 26214, впечатляет",no,no,no,no
"Пашка на самом деле Денис Добровольский. Эт так, к слову.",no,no,no,no
"Видать, умел играть. В отличие от.",no,no,no,no
"ID сам меняется, пока не разобрался почему. Меня банить не надо, я хороший.",no,no,no,no
"Немного не из той оперы, после военки я.",no,no,no,no
"То есть, если настоящего алкоголика отправить на месяц в Японию, он пить перестанет? Что-то сильно сомневаюсь.",no,no,no,no
"Двощеры, поясните: чем он так плох? Поясняю: СЖВшным бомбит от его роликов про феминизм.",no,no,no,no
"Раз тут таких много, кому нечего ответить, может просто съебешь?",yes,no,no,disagreement
"1 ты тупой? без обид, но я не знаю как написать по другому 2 кто мне что впарил то? ты так и не ответил 3 разводила тут только ты, а точнее просто невежда а теперь минутка просвещения невежд, титановые фильтры придумали не разводилы, они существуют уже не один десяток лет, и применяются в промышленных установках, где проходят строжайший контроль и все испытания, следовательно имеют все сертификаты. применяют их во всем мире, вот незадача то да? дай угадаю, весь мир развели, весь мир тупые, все пидорасы, а ты дартоньян? чую чем то пахнет, интересно, чем же?.. то, что они появились в россии недавно и о них услашали всякие невежды, не значит что они плохи, фильтры хорошие, но очень дорогие. только поэтому я и поставил обычный механический фильтр. для особо тугих - у меня нет титанового фильтра, слишком дорого",yes,yes,yes,yes
"А вот был бы чат не тупой, были бы в курсе. Если бы чат не был овощебазой, они б не стали такой жир воспринимать на полном серьёзе",yes,yes,yes,yes
"t Ладно мужик забеременел лол, как новорожденный плод извлекать? Только кесарево сечение получается?",no,no,no,no
"Наши точно такие же ненастоящие, если не брать конечно ламповые советские. Детских актеров берут зачастую по знакомству, даже не глядя, и ребенок в кадре не может убедительно засмеяться или заплакать. Да и взрослые часто переигрывают, да так, что становится стыдно, хотя играют они.",yes,no,no,disagreement
"Я про целесообразность покупки новой лады весты, с учетом ее стоимости.Шкода 4-5 летняя намного интереснее вариант, да и другие свежие иномарки. А в салонах щас этих разводок полно, поэтому у частника лучше брать, но опять же как минимум проверить vin.",yes,no,no,disagreement
"Просвирин - совок. Да. Вернее есть ракурс с которого Просвирин-совок есть одно целое. С этого ракурса Просвирин, как и совки - универсалисты. И соответственно ракурс этот - ракурс исключительника(антиуниверсализм). У Просвирина универсализм выражается в капитализме, принадлежности к некой Европейской цивилизации , атеизме, ассимиляционном потенциале . У совков - это тот же атеизм, некая многонациональность, мировая революция, да и вся их идеология построенная на универсальных установках. По факту, с точки зрения исключительника, Просвирин есть совок, ибо между ними нет разницы по существу. Все они одинаково влюблены в глобализм. Мир исключительника уже, ближе, роднее. Это мир вокруг него, и он его любит. Он не может быть глобальным. Понятие границ в нем важнейшее. Сейчас такое называют ксенофобией и клеймят, как справа, так и слева. Да и центр Э не дремлет. Фактически англосаксы опять победили, сформировав коридор по которому нас гонят не в говно, так в партию . Философы выигрывают мировые битвы, а не генералы. Советский Союз, ужасный красный зверь был побежден философами - самой страшной силой и самым разрушительным оружием.",yes,yes,no,disagreement
"Что ты имеешь против кремля, холоп заморского барина?",no,no,no,no
"Да блядь, извините, я знаю не всё. Насколько же я охуенен, что чтобы меня подъебать, приходится раскапывать записи четырёхлетней давности . (С) с крайнего стрима",yes,yes,yes,yes
"Киногероя тоже недавно пересмотрел в третий раз. ляпота) А без компромиссов даже не смотрел, спасибо за наводку",no,no,no,no
"Житель Киева в результате неосторожного обращения с огнестрельным оружием выстрелил собственной матери в живот. Спустя несколько дней женщина скончалась в больнице. Фигуранту данного дела грозит до 5 лет лишения свободы. Об этом сообщила пресс-служба Нацполиции Киева во вторник, 19 март. Отмечается, что в дежурную часть Деснянского управления полиции поступил вызов об огнестрельном ранении на проспекте Владимира Маяковского. На вызов немедленно прибыли экипажи патрульных и следственно-оперативная группа управления полиции. По словам начальника Деснянского управления полиции Александра Косовского, на месте правоохранители выяснили, что 36-летний мужчина случайно выстрелил из револьвера под патрон Флобера и ранил мать в живот. Киевлянин длительное время пьянствовал, из-за этого между ним и матерью возникали конфликты. В тот день ссора закончилась госпитализацией 68-летней потерпевшей в больницу. Через неделю из медицинского учреждения мы получили сообщение о смерти женщины. В ходе получения дополнительных материалов следователи переквалифицировали уголовное производство из неосторожного тяжкого телесного повреждения на убийство по неосторожности , говорится в сообщении. Следователем следственного отдела Деснянского управления полиции мужчине объявлено о подозрении в совершении преступления, предусмотренного ст. 119 (Убийство по неосторожности) Уголовного кодекса Украины. Санкция статьи предусматривает до пяти лет лишения свободы.",yes,no,yes,disagreement
"И Маргинала сразу, будет протестовать у офиса Твича)) Маэстро на хуйче сразу бы забанили)) Или там за сорказм не банят, а только за прямые утверждения?",yes,yes,yes,yes
"Шеф он и есть шеф. Хоть европейский, хоть японский. В основном им идет нарезка шинковка.",no,no,no,no
"Не знаю, бесплатная не сохраняла файл, а ломаная вроде одинакого по времени сохраняет.",no,no,no,no
"Да, даёшь! Давай поиграем в Civil War.",no,no,no,no
"Сейчас все такие ранние и прогрессивные, что даже не знаю)",no,no,no,no
"Не стал бы. Ребрендинг старого материала особо нового ничего не принес (лично мое мнение из собственного опыта) Маленькая площадь еще туда-сюда, на средней и большой лежит хуевастенько",yes,yes,no,disagreement
"Да там вся линейка омерзительная, от копейки до... кто там флагман ща у Автохлама-веста?",no,no,no,no
"При мне как то бортмех с женой разговаривал, что мол не вылетели потому что лопасти качать надо. Жена видно думала что у него белочка началась",no,no,no,no
"И действительно какая разница леваку какое происхождение капитала, если он все равно будет его отнимать и делить?. Гопника в подворотне тоже не интересует происхождение мобилки в руках лоха - честно он на нее заработал или насосал. А все почему? Потому что ва красножопой эсхатологии любой капитал преступен и поэтому вопрос о его происхождении для коммипетуха лишен смысла.",yes,no,no,disagreement
"Барином хорошо было быть, в 17-ом веке. Учи себе французкий. Читай книжки. Не жизнь - малина.)",yes,no,no,disagreement
"В смысле? Ну, обхвптываешь и как раз пальцы касаются друг друга",no,no,no,no
"Жалко что его уволили из группы, на предпоследнем альбоме он нехило так разгулялся. Особенно тут в последней части: https: www.youtube.com watch?v EFEmTsfFL5A",no,no,no,no
"Конечно не в нём. Всё дело в отсутствии уравновешенности и возможно адекватности тётки-истерички. А может ПМС, сроки горят и т.д., и т.п.",no,yes,no,disagreement
"Ну, соглашусь конечно, но все же хочется иногда почитать что было в прошлом треде, те же ответы на свои посты реакты или обсуждение чего либо по теме раздела те немногие А так же картиночки.",no,no,no,no
"Давно уже не секрет, что оперирование двойными стандартами для женщин норма. Тут как бы удивляться не надо, просто воспринимай это как данность женского восприятия мира и часть бытия.",no,no,no,no
"ЭЙ МИХАЛЫЧ, ТАМ ПОЖАРКА ПИЩИТ ДА ХУЙ С НЕЙ ПУЩАЙ ПИЩИТ СМОРИ ЧО ТУТ У ФРАНЦУЗОВ ЭЙ МИХАЛЫЧ ТАМ ДЫМ КАКОЙ-ТО ДА МАЛО ЛИ САМО ЗАГОРЕЛОСЬ САМО ПОТУХНЕТ ТЫ ЗАКРОЙ ВЫХОД ЗАПАСНОЙ ПУЩАЙ ЧЕРЕЗ ЦЕНТРАЛЬНЫЙ ПИЗДУЮТ, А ТО ТАМ ПОЛЫ МЫТЬ ЭЙ МИХАЛЫЧ ТАМ НАТУРАЛЬНО ПОЖАР ПИЗДЕЦ ЯЕБУ ОХ ЕБААААТЬ СГОРИТ ЦЕНТР ПОХОДЕ ПРИД ТСЯ ДРУГУЯ РАБОТУ ИСКАТЬ. ЛАДНО ХВАТАЙ ЧТО МОЖНО И СЪ БЫВАЕМСЯ",yes,yes,yes,yes
"это потому что спрос превышает предложение. Вот односторонней связи достаточно уже, поэтому и не столь дорого.",no,no,no,no
"Не, нормально)) подходит!)) UPD: Не, это точно не в октябре было. Значит не Япония. Да там даже видео есть всех гонок, можно посмотреть.",yes,no,no,disagreement
"о да, в поезда играли за бутылкой чая ))) ночь на дворе, 1-2 часа, 4 пьяных тела 30 вагончики расставляют по карте )))) весело )))",no,no,no,no
"Комментарий удален. Причина: оскорбления, грубое общение и провокации",no,no,no,no
"Если кто-то найдет мои документы, я готов отдать все свои деньги, которые появятся",no,no,no,no
"ЕСЛИ БЫ ОДНОКЛАССНИКИ НЕ РАЗБИЛИ ПЯТИКЛАШКЕ ЕБАЛО, ТО ЕГО РАЗБИЛИ БЫ СОЛДАТЫ НАТО!!!!",yes,yes,yes,yes
"Левада еще может адекватно такой объем анализировать, подзалупным оркам такие технологии недоступны",yes,no,no,disagreement
"Гриффиндор хуйни не скажет, поддержу.",yes,yes,yes,yes
"Скажу одно, никто тебе не поможет кроме тебя самого, ты либо берешь в себя в свои руки, либо любой из вышеперечисленных вариантов.",yes,no,no,disagreement
"Немца от англосакса запросто отличить, например.",no,no,no,no
"Да какой там УК? Новая Зеландия до сих пор подчиняется английской королеве. Блять, в 21 веке у них короли, королевы, графы, маркизы и епископы. баный фестиваль средневековья, а не страна.",yes,yes,yes,yes
"знаю одного мужика деревенского,у него на заимке тоже был медведь какое то время. рассказывал - когда миша начинал борзеть он ему в пятачок с кулака пробивал, миша на жопку присаживался, вертел головой и уползал на свое место . потом вроде пристрелили его,но это не точно",yes,yes,no,disagreement
"Вот читаю часто подобные воспоминания об увеличении груди и думаю почему меня миновала сия чаша? Вес не набрала, сиськи не выросли. И даже беременная не страдала принеси то не знаю что . Обидно даже, ненормальная какая-то я как будто ((",yes,yes,no,disagreement
"Притягиваются противоположности, а одинаковых и так дохрена.",no,no,no,no
"Типа есть, чем думать. Лично мне жаль, что его не у бало, как следует. На премию Дарвина прямой кандидат.",no,no,no,no
"Красивый, но не драгоценный",no,no,no,no
"Так не ноль, а нуль. Так как математику подменили, осмелюсь предположить, что в системе счёта древних русов, нуль - это не то же самое, что и ноль мимо",no,no,no,no
"Встала младая с перстами пурпурными Эос, брату она Гелиосу вновь озарила дорогу. Понял ремесленик славный, зря обратился к гетере. Нужно было нанять творца-летописца Гомера. Что бы в стихах он прославил обувку.",no,no,no,no
"Надо физиков звать... можно рассчитать начальную скорость :) Хотя чего из звать, сам посчитал, примерно 450км в час, примерно в 2 раза ниже скорости пули :)",no,no,no,no
"Любые. Моральные нормы как вера, или член. Очень хорошо если они у вас есть, но не стоит размахивать ими перед другими людьми. И вы будете атакованы если попытаетесь подсунуть их моим детям.",no,yes,no,disagreement
"Предлагаю вашему вниманию поэтические страницы маестра. До тридцати сиянье чуда В тебе, быть может, будет жить Улыбки нежность неоткуда Тебя заставит не забыть Потом морская синь, дороги И быт усталый и глухой Тебя доедут до берлоги И в старость уведут рукой Останутся со мной мгновенья Недокасанья юных рук Недосознанье упоенья Былой любви к тебе, мой друг. 6.03.07. АПОЛОГИЯ ДВИЖЕНИЯ. Среди чернеющих небес Себя найдешь на улице Бредущим по городу Где только снег идет Как ты Другое все иного направленья И сотни тысяч стен домов Тебя встречают В ужасе Ты страшен Поскольку ты идешь Они стоят Тот кто идет всегда опасен И одинок Как этот снег Как эта ночь Огромная удача Что ты не видишь Как ты одинок Но ты уснешь Как это небо станешь Великой темнотой Луна звенит И звезды опадают Как снег, как листопад Куда-то вниз Туда где ты Страниц не различая Запишешь их Листву и звон от звезд И песни стон и лунное дыханье На маятник повяжешь низ Чтоб верх по стрелке шел вперед И только так достигнешь ты себя Своих богов, своих детей Своих последствий И выбор сделаешь на пользу лишь себе 8.03.09. ЧЕЛОВЕК. Такое длинное мгновенье: А дальше эхо и забвенье Что надо нам успеть За этот срок недолгий? Спросить себя: Ты кто? - И дать ответ; Но главное влюбиться: Чтобы ответ мог подтвердиться. 9.01.10. ЮНОСТЬ ПОЭТОВ. Я срезал стебель для своих утех Я гений Значит правом данным от начала Я выбираю жребий тех Кто нужен мне для счастья и причала А, может, для страдания Как агнец богу на закланье На пир души и хищной, и прекрасной Веду я за руку фантомы красоты И каждый ты живешь лишь в мере той Что под руку со мной ведет тебя судьба слепая Ты значим лишь в моих глазах Ты существуешь только как моя болезнь Как озеро испившее нарцисс Как призрак сна настигнувший меня На кромке заколдованного лета Знайте, юность саван воскрешенного поэта 10.02.09.",yes,yes,no,disagreement
"можете назвать ХОТЬ ОДНУ блядь нацию, которая лучше евреев? Любая европейская нация лучше еврейской (наверное поэтому у бугоизбранных от них так бомбит) жыды по уровню развития где-то на уровне русни (в чём-то лучше, в чём-то безнадёжно хуёвее)",yes,yes,yes,yes
"Летел из Китая в субботу. Всем пофиг. Причем спросили, а у вас есть батареи в багаже. Я говорю есть - 4 Айфона (кого я обманываю, я нищеброд. 4 китайфона.) Батареи не съёмные. Сказали Окай, что делать то. И повербанк на 20к с собой.",yes,no,no,disagreement
"Еще можно добавить 4-5 начертаний каждой буквы и сделать так, чтобы в процессе генерации текста от каждой буквы брался один из вариантов радномно - тогда текст будет выглядеть реалистичнее)",no,no,no,no
"Ну что, , поняли, что ответить на вопрос не можете, попытались соскочить, и для надёжности в игнор кинули? Трусливо и тупо, но ожидаемо для вашего уровня рассуждений.",yes,yes,yes,yes
"А селедку уже слопали, я так понял :D",no,no,no,no
"Лучше записочки в Деус Эксе почитать, ололо",no,no,no,no
"а за что минус? внештатный специалист это кто? кто не работает в штате. то есть не работает в минздраве. я тоже не работаю в минздраве. могу назвать себя внештатным специалистом и наговорить любой ерунды. лайф написал, а потом этот бред еще по телекам покажут.",yes,no,no,disagreement
"Да не буду я тебе нихуя искать, общеизвестная инфа. В своих знаниях и так убежден, а если ты просто хочешь активно не верить - мне похуй. Главный модуль американской части МКС тоже создан в России - и хуле? Короче маму твою ебал.",yes,yes,yes,yes
"Нам с первого сентября в школе в бошки вдалбливали, что мы ничего не сдадим, никуда не поступим и умрем бомжами) выжили, однако)",yes,no,no,disagreement
"Малограмотный, ты бы сперва прочитал что такое декрет о земле .",no,no,no,no
"На видео смотри, тупомозгий. Раздел, сортировочка. Давай.",yes,yes,yes,yes
"Даже левые, дроча на совок и Сталина, подставляя тугие извилины под пропаганды своих новых ютуб-вождей после работы выглядят выгодней чем? у Нестерова достаточно оригинальная идея. Внедрить методы борьбы за гражданские права в русский национализм. То есть в либероидном мире научиться выставлять себя жертвой, как научились евреи, негры, женщины, гомики, радикальные муслимы. При том, что примеров антирусской ксенофобии масса и в истории и в современных медиа. Понять выгодность и применимость этой позиции мешает не какая то ядерная идеологическая прошивка, а всего лишь комплекс настоящего мужика , который просто не имеет права показать слабину, даже если он давно от надрыва грыжу заработал.",yes,no,yes,disagreement
"Я, как-то думал, что из моих слов это будет понятно. Простите великодушно, если не уразумел, что не все поймут мой посыл.",no,no,no,no
"А,ясно. У вас может быть свое мнение и это похвально,но оно неправильное . Сами же тоже самое пишите. Да вот на деле хватит одного выстрела с танка, сотня-другая убитых и раненных - и все эти 15 миллионов разбегутся по домам.",no,no,no,no
"Что я понял, это кулинарные каналы - это типикал субъективщина. Если и нужен канал, то без всякого лишнего пиздежа и выебонов. Чел на втором пике так вообще очень сильно бесит, на такого говноеда я ссал и ссал, срал и ссал. Даже его ебало намекает, что он поехавший. Как-то смотрел его видео, как он картошку жареную готовил, еще довольно давно, год назад, нихуя ничего не понял, какая-то хуйня с неуместными комментариями.",yes,yes,yes,yes
"мухаха спалился , сам себе донатит",yes,no,no,disagreement
"А покажите процесс, пожалуйста!",no,no,no,no
"А вы не думали, что хлеб воруют, потому, что голодные, такого не может быть? Семьи всякие бывают и достаток у всех разный. Кому то бутерброд с икрой не лезет в рот, а кому то кусок хлеба, как пряник...",yes,no,no,disagreement
"Вы очень удивитесь, но если всех барышень умыть (в смысле, косметику смыть), то дурнушек наберется не так уж много. В основном юные барышни миловидны. Каждая, конечно, по своему. Ну, тут уж, что называется, на вкус и цвет ... Косметика только подчеркивает природную привлекательность барышни, но не заменяет её. А иногда даже получается обратный эффект, барышня без косметики выглядит гораздо привлекательнее, чем с боевым раскрасом .",yes,no,no,disagreement
"Ну да бог с ними. Или кто там - Будда,Мао?.. В принципе ничего удивительного - китайцы запросто могли стырить спутник. Это на них похоже,как походе на то,что они не смогли кражу скрыть (не очень сообразительный ребята) А то,что это стало отличным поводом вытеснить их с рынка... Ну что ж,тут китайцы подставились... Но в этой сфере у них и собственных заказов с лихвой",yes,no,no,disagreement
"А, так то была пиратская батарейка?",no,no,no,no
"мне вот интересно: на Большой земле примерно в это время творилось тоже самое: людей сгоняли в колхоз,убивали их скот,засыпали хлоркой что бы нельзя было съесть остатки, оцепляли целые районы,что бы никто не сбежал. Ну там хотя бы цель была-загнать всех в колхозное рабство.А чем тут начальник руководствовался когда морил голодом туземцев?",no,no,no,no
"В проходящего мимо человека в мастерской? Чё? Хуета любая может отскочить в проходящего человека. Бейсбол же не запрещают из-за этого. А вот группу Б в ралли запретили, придурошные.",yes,yes,yes,yes
"а вот осквернение, а именно глумление над принятыми в социуме историческими и духовными ценностями на лицо. Вам не трудно будет дать список ценностей принятых в нашем социуме? Где он? Кто его видел?",no,no,no,no
"Магические элементалы, например. )",no,no,no,no
"Ну, по-моему, первый сезон Побега шикарен, постоянно держит в напряжении, а дальше уже пошел лютый бред",no,no,no,no
"Мне кажется тебе лечиться надо. Или в жопу меньше давать, чтобы клапан держал.",yes,yes,no,disagreement
"Пфффф. , наглый и бесстыжий яндексобот прикидывается ветошью. Реклама.",no,no,no,no
"Оно то есть, но в чае - спирт.",no,no,no,no
"Смотри что бы из рука лицо не превратилась в левая рука, а когда пойдут мозоли в правая рука)",no,no,no,no
"это не обязательно для живых, бывает когда памятник не на что поставить уже несколько лет...",no,no,no,no
"Обычно учитывается вес нетто, а здесь в расчеты закралась градиента g 9,8 м с)))",no,no,no,no
"Ага и вы в ней чужие. Уезжайте, вам тут не рады.",no,no,no,no
"кусок окаменевшего говна весом в 1,3 кг . Там нет мозга .",yes,yes,yes,yes
"Тебя ебет? Она тебя вроде не трогает, зачем лезть в её пространство личное. Как бабки подъездные.",yes,no,yes,disagreement
"Какой же вчера был охуенный эфир Невзоровских сред, Глебыч жег адским пламенем, давно он такой годноты не выдавал.",yes,no,yes,disagreement
"Бате недавно ставили, многим уже в 40 нужно. А если не повезло с зубами, то и того раньше. Надеюсь, вам повезло :р",no,no,no,no
"Можно ещё поговорить на тему Здороваетесь ли вы заходя в лифт, а там люди? )",no,no,no,no
"Вы там осторожней, а то увидит что вы тут про него пишете и переебёт с ноги.",yes,yes,no,disagreement
"Нах ты тут семёнишь, кал? Сыбас отсюда.",no,no,no,no
"Значит, кукла шалит. Иду к Степану вопрошать.",no,no,no,no
"Вертолёта в тред промытым фемовыблядкам. Просвещайтесь, опущенные ебанутые сектантки. Старые видео по теме у него тоже посмотрите.",yes,yes,yes,yes
"Позвольте узнать, скольких детей вы воспитали, дабы утверждать, что ребенок - это примитивный и легко предсказуемый алгоритм, в котором нельзя - значит нельзя? Удобно все и всегда на воспитание спихивать, вроде я ничего в жизни не добился, но не потому что я нихера делать не хочу, а потому что меня так воспитали, моей вины в этом вообще нет. И родители не виноваты, их тоже так воспитали. Адам с Евой всю ответственность несут, а мы так, по течению плывем. Значит люди, которые имеют проблемы с алкоголем - быдло. Люди, дети которых причинили любой вред чужой собственности - быдло. Но может тогда и люди, которые перестают следить за своим здоровьем и мало двигаются - быдло, ведь они тоже осознают риски? Люди, которые вместо саморазвития приходят домой и смотрят сериальчики, просто потому что им лень что-то делать еще, они тоже быдло, ведь разница с алкоголиками в способе отдохнуть, структурно никакой разницы? Но тогда логичный вопрос, а есть ли НЕ быдло на нашей планете?",yes,no,no,disagreement
"То-то декоммунизированая свиноина процветает, пиздец просто",yes,yes,yes,yes
"Замечу, что быдло думает, что в ссср все было бесплатно за счет подоходного. Фейспалм",yes,no,no,disagreement
"Первая заявка на победу в треде! Кемерово теперь славный город Пыня. Если появится другой претендендент - Кемерово станет Пыня-1, закрытое территориальное образование по типу Челябинска-40.",no,no,no,no
"Пенопласт боится солнца,а какие там высокие температуры?Пять лет так был зашит сарай у товарища коричневым профлистом.В прошлом году снимали одну стену,для пристройки.Под листом пенопласт белый как будто вчера укладывали.И забыл дописать это была солнечная сторона.",no,no,no,no
"Так СИМ-карта была куплена в другом регионе, произошел переход на региональный тариф, т.к пользуешься в другом регионе, отличном от покупки.",no,no,no,no
"настройки - проблемы не камеры, а софта",no,no,no,no
"В частном доме? Поди у вас? Или в санатории каком то или у олигарха. Коих у нас 60-70 , по вашему. Лишь бы тиснуть что нибудь.",no,no,no,no
"Смотрю его с обзора на крузис 3, в последнее время чет совсем исшутился, какой то кринжовый, душный юмор, пересмотрел его старые выпуски и понял, что раньше было много тонких шуток, которых я тогда не понимал. И кста он начал скатываться, когда в стримы пошел, непонятно нахуя, надо было дальше видосики пилить, а не в хер стоун гамать.",yes,yes,no,disagreement
"где расчехляет кулаки, ты врешь 4пик Заебала пиздеть, русня",yes,yes,yes,yes
"Послушай, перестанешь) Особенно их классику котята",no,no,no,no
"Эта операционка закрыта. Это вовсе не значит, что она не поддается реверсинженерингу и модификации.",no,no,no,no
"В Украине 99,9 людей вообще не знают кто он такой, а оставшемуся 0,1 на него пох й. Получается, он делает контент об Украине для российского внутреннего употребления, и ничем не отличается от той же скабеевой и киселёва)",yes,no,no,disagreement
"Пыня понял, что мультики никого не напугали и в любую минуту в его попыню может прилететь томагавк?",no,no,no,no
"Стрим 09.02.2019, некоторые интересные моменты 1. Начало стрима 5.00 2. Я куколка 3. Встаёт, показывает лук 7.10 4. Пыталась поиграть в доту, но не смогла. Не понравилось. 7.48 5. Поддерживает новые толерантные игры в которых есть персонажи геи 9.20 6. Вчера не ходила в качалку. 7. Про гендеры, их больше чем два. Карина это поддерживает. 12.35 8. У меня нет друзей чтобы играть в командные игры 15.10 9. Скоро останутся только вк и ок 18.00 10. Про фильм Девочка , хочет посмотреть его 19.25 11. Включила роли по фильму Алита 23.00-27.42 12. Обнимашки от Карины (реакция на донат) 30.15 13. Про Корею, фильм В лучах солнца , политику, Китай 37.40 14. Думает сделать как-нибудь макияж на стриме 38.15 15. Про Париж, думает куда бы хотела сходить 41.40 16. Билет в кино стоит 15-20 евро 45.20 17. Показывает платье во весь рост 46.05 18. Говорит по японски 48.55 19. Карина очень давно отбеливала зубы, но особого результата не было 50.00 20. История про то как ходила в 24 часовой магазин, чуть не сбила машина. Потом за это отругала мама 54.35 21. До меня никто не доёбывался, кроме фанатов 58.50 22. Думала купить травмат 59.45 23. Не может покупать дорогие вещи, какой-то барьер 1.00.40 24. Про бренды, удобную обувь 1.01.20 25. Встала, показывает свои розовые кросы Вансы 1.04.35 26. Самая дорога вещь которую купила - пуховик зеленый за 150-200 баксов 1.05.30 27. Как ты ухаживаешь за волосами? 1.08.55 28. Встала, ушла за кроссами Buffalo, принесла и надела на ногу 1.09.50 29. Про доставку еды в Леньяно 1.12.40 30. Про такси и поездку в нём с итпедиа 1.15.00 31. Вопрос про стримы 2015-2016. Карина не ностальгирует по ним 1.22.00 32. Хейт-донат про межнациональные браки. Карина поддерживает таки отношения 1.22.58 33. Про коммунизм 1.30.25 34. Проходила психологический тест, Карине в душе 68 лет 1.41.04 35. Возможно у меня сбитая биологическая прошивка (про то что не хочет детей заводить) 1.44.00 36. Про садик 1.50.40 37. Про школу и туалеты 1.52.00 38. Про игру метро 1.58.55 39. Игры надоели 2.01.00 40. Включила ролик со штукой которую хотела бы себе, для записи музыки, опи-1. Смотрит сколько эта штука стоит. 2.03.47 41. Включила видео с Алитой 1.08.00-1.10.05 42. Говорит что новый микрофон нравится больше (он изолирует звук, подавляет шумы) 2.12.00 43. Хочет поиграть на следующем стриме в Hearthstone 2.14.25 44. Ест червячка-желейку 2.21.30 45. Про аниме 2.22.50 46. Включила OST из аниме GTO (Great Teacher Onizuka) Opening 2 2.24.00 47. Кариан про аниме Эльфийская песня . Плакала когда смотрела. Это шедевр. 2.31.30 48. Карина задумалась. 2.37.00 49. Говорит по итальянски 50. Думает что желудок стал ещё меньше после болезни 2.48.00 51. Играет трек который постоянно включают в качалке куда ходит Карина 2.49.30 52. Подготовка к стриму уходит 40 минут (косметика и т.д.) 2.52.40 53. Про Ларина 2.54.00 54. Заменила бы себе тело на кибертело 2.57.50 55. Про вред наркотиков 3.00.00 56. Про бухло, курево, травку 3.08.00 57. Нашла трек со старого стрима, который просили найти в донате KING PLAGUE - Ave Plague 2.25.00",yes,no,yes,disagreement
